,Min_Len_Param,Over_Min_Len,Seq_Len,Seq_Len,Seq_Len,Seq_Len,Seq_Len,U_Basic_Min_Len,U_Basic_Or_Comp_Role_Equal,U_Comp_Role_Equal,U_Composite_Min_Len,U_Over_Min_Len,seq.value
,max,sum,count,max,mean,min,std,sum,sum,sum,sum,sum,nunique
Role_Name,,,,,,,,,,,,,
CDS,40,7198.0,7689.0,66879.0,1136.6658863311225,0.0,1430.859925812916,6189.0,6240.0,51.0,599.0,6788.0,6884
Chromosome,6,13.0,73.0,8301.0,791.917808219178,0.0,1848.2098828132218,10.0,10.0,0.0,3.0,13.0,15
Engineered Region,6,19477.0,20171.0,36199.0,1727.172425759754,0.0,1564.242377853714,3697.0,5246.0,1549.0,13967.0,17664.0,17683
Mature Transcript Region,6,556.0,595.0,3182.0,218.58823529411765,0.0,355.4408940376556,485.0,487.0,2.0,53.0,538.0,540
OriT,6,39.0,41.0,3615.0,958.5853658536586,0.0,760.4146886932733,20.0,20.0,0.0,19.0,39.0,40
Plasmid,40,526.0,609.0,49726.0,4133.555008210181,0.0,3925.7016768056933,398.0,399.0,1.0,86.0,484.0,489
Plasmid Vector,40,379.0,404.0,48172.0,3787.5544554455446,0.0,2995.515576281795,353.0,353.0,0.0,16.0,369.0,372
Polypeptide Domain,6,718.0,769.0,66190.0,586.6944083224968,0.0,2445.9947605691477,665.0,669.0,4.0,35.0,700.0,719
Primer,6,574.0,582.0,2514.0,77.2147766323024,0.0,321.8340785271395,567.0,567.0,0.0,0.0,567.0,568
Promoter,6,2965.0,3106.0,7891.0,375.48454603992275,0.0,597.6403109789298,2495.0,2552.0,57.0,275.0,2770.0,2778
Restriction Enzyme Assembly Scar,6,26.0,40.0,2284.0,73.95,0.0,358.7185847944362,24.0,24.0,0.0,1.0,25.0,35
Ribosome Entry Site,6,494.0,525.0,4273.0,71.25714285714285,0.0,291.9813673265246,448.0,449.0,1.0,6.0,454.0,464
Sequence feature,6,2734.0,3149.0,49726.0,802.9917434106065,0.0,1731.176796927159,1923.0,2005.0,82.0,658.0,2581.0,2652
T7 RNA Polymerase Promoter,6,32.0,35.0,36939.0,6219.085714285714,0.0,12787.175237372032,24.0,24.0,0.0,4.0,28.0,29
Tag,6,263.0,288.0,5846.0,186.61805555555554,0.0,519.4148207831265,222.0,223.0,1.0,11.0,233.0,236
Terminator,6,381.0,388.0,3388.0,154.44329896907217,0.0,259.65103669997717,329.0,332.0,3.0,6.0,335.0,338
